Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Abigail Trapp,2022-23,Haverford,1,1,3,2,,,,,
Abigail Trapp,2023-24,Haverford,,1,1,9,,,,2,
Abigail Trapp,2024-25,Haverford,,,0,6,,,,1,
Abigail Trapp,2025-26,Haverford,2,4,8,7,,,,2,
