Player Name,Year,Team,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,Freepos Shots,Freepos Goals,RC,YC,GC,Draw Controls
Kylie Kearon,2022-23,Haverford,4,,,2,1,3,4,3,,,,1,1,,1,,
Kylie Kearon,2023-24,Haverford,18,3,9,16,5,21,38,25,9,13,2,11,4,,,,9
Kylie Kearon,2024-25,Haverford,7,,,3,,3,7,4,1,,,2,2,,,,
