Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Max Lovinger,2023-24,Haverford,2,,,,,,,,,,,
Max Lovinger,2024-25,Haverford,7,,,3,1,2,,,,,,
Max Lovinger,2025-26,Haverford,5,,1,7,3,,,,,,,
Max Lovinger,Career,,14,,1,10,4,2,,,,,,
