Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Conrad Coyanda-Parkzes,2022-23,Haverford,16,,,5,2,3,,,,,,
Conrad Coyanda-Parkzes,2023-24,Haverford,16,,1,3,2,8,,2,,,,
Conrad Coyanda-Parkzes,2024-25,Haverford,14,,2,1,,4,,2,,,,
Conrad Coyanda-Parkzes,2025-26,Haverford,10,,,4,1,2,,1,,,,
Conrad Coyanda-Parkzes,Career,,56,,3,13,5,17,,5,,,,
