Player Name,Year,Team,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,Freepos Shots,Freepos Goals,RC,YC,GC,Draw Controls
Lilly Provost,2023-24,Haverford,9,1,,1,,1,3,2,,1,,,,,,,2
Lilly Provost,2024-25,Haverford,21,9,21,,,0,,,32,9,15,,,,,2,
