Player Name,Year,Team,G,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,RBI2out
Andrew Schindler,2023-24,Haverford,8,,,,,,,,,0,,,,,,,,,,,,,,
Andrew Schindler,2024-25,Haverford,,,,,,,,,,0,,,,,,,,,,,,,,
