Player Name,Year,Team,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,Freepos Shots,Freepos Goals,RC,YC,GC,Draw Controls
Cameron Hamilton,2023-24,Haverford,4,,,,,0,,,1,,1,,,,,,1
Cameron Hamilton,2024-25,Haverford,16,,4,,,0,,,4,2,6,,,,1,2,14
