Player Name,Year,Team,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,Freepos Shots,Freepos Goals,RC,YC,GC,Draw Controls
Sophie Jaffe,2023-24,Haverford,13,1,5,7,4,11,19,12,4,15,1,2,,,1,,
Sophie Jaffe,2024-25,Haverford,21,1,21,10,25,35,34,24,16,27,5,4,,,1,2,4
