Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Steph Ionescu,2024-25,Haverford,,,0,,,,,,
Steph Ionescu,2025-26,Haverford,,,0,,,,,,
Steph Ionescu,Career,,,,0,,,,,,
