Player Name,Year,Team,G,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,Avg,PTS,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls,Effective FG Pct.,Bench
Ian Hochman,2024-25,Haverford,22,141:45,21,41,51.22,10,24,41.67,2,5,40.00,1.41,54,8,23,31,1.41,9,7,4,3,4,,,,,4.000,0
Ian Hochman,2025-26,Haverford,9,41:55,2,8,25.00,1,3,33.33,,,,1.22,5,3,8,11,1.22,,1,1,1,4,,,,,1.000,0
Ian Hochman,Career,,31,183:40,23,49,46.94,11,27,40.74,2,5,40.00,1.35,59,11,31,42,1.35,9,8,5,4,8,,,,,,0
