Player Name,Year,Team,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,SBA,CS,Picked,GO,FO
Lauren Martin,2023-24,Haverford,34,34,0.358,0.407,0.505,109,23,39,9,2,55,1,,7,2,11,,1,9,2,,,,9,10,1,,24,30
Lauren Martin,2024-25,Haverford,31,32,0.274,0.307,0.379,95,15,26,6,2,36,,,5,,9,1,4,14,6,2,,,11,16,5,,27,31
