Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
JJ Stein,2022-23,Haverford,16,407:06,,,0,3,1,9,,,,,,
JJ Stein,2023-24,Haverford,16,1075:09,1,2,4,10,4,9,,2,,,,
JJ Stein,2024-25,Haverford,19,1435:07,,1,1,6,1,6,,1,,,,
