Player Name,Year,Team,MP,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
Dasha Igonin,2023-24,Haverford,14,47,9,3,28,0.214,168,20,23,72,3,1,,1,,29.5,23,
Dasha Igonin,2024-25,Haverford,15,46,1,2,13,-0.077,50,19,15,38,1,,,,,20.0,,
Dasha Igonin,2025-26,Haverford,21,74,9,1,47,0.170,216,24,21,109,1,,,,,33.0,3,
