Player Name,Year,Team,G,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,Avg,PTS,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls,Effective FG Pct.,Bench
Alex George,2024-25,Haverford,21,434:50,37,84,44.05,7,20,35.00,13,27,48.15,2.29,94,24,24,48,2.29,34,51,10,2,63,,,3,,0.667,0
Alex George,2025-26,Haverford,13,265:25,17,30,56.67,,3,0.00,11,15,73.33,1.31,45,10,7,17,1.31,30,14,7,1,24,,,,,3.000,0
Alex George,Career,,34,700:14,54,114,47.37,7,23,30.43,24,42,57.14,1.91,139,34,31,65,1.91,64,65,17,3,87,,,3,,,0
