Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Turner Elliott,2023-24,Haverford,16,,,2,2,9,1,13,3,1,,0
Turner Elliott,2024-25,Haverford,15,,2,2,4,12,5,10,3,3,,0
