Player Name,Year,Team,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,Freepos Shots,Freepos Goals,RC,YC,GC,Draw Controls
Louisa Coughlin,2023-24,Haverford,19,,11,8,1,9,21,14,21,12,5,2,1,,1,3,18
Louisa Coughlin,2024-25,Haverford,19,2,9,7,3,10,17,11,15,10,7,3,1,,,,7
