Player Name,Year,Team,G,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,Avg,PTS,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls,Effective FG Pct.,Bench
Gaven Marr,2023-24,Haverford,25,687:38,81,218,37.16,36,116,31.03,28,31,90.32,4.24,226,20,86,106,4.24,28,38,22,13,30,,,,,1.929,
Gaven Marr,2024-25,Haverford,25,581:48,117,311,37.62,37,136,27.21,56,64,87.50,5.08,327,29,98,127,5.08,44,58,33,6,53,,,2,1,0.409,0
Gaven Marr,2025-26,Haverford,7,125:00,20,54,37.04,11,28,39.29,11,15,73.33,2.57,62,3,15,18,2.57,9,12,8,1,5,,,,,,0
Gaven Marr,Career,,57,1394:27,218,583,37.39,84,280,30.00,95,110,86.36,4.40,615,52,199,251,4.40,81,108,63,20,88,,,2,1,,0
