Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Holly Vincent,2022-23,Haverford,1,,2,17,,,,1,
Holly Vincent,2023-24,Haverford,3,3,9,36,,,1,,
Holly Vincent,2024-25,Haverford,,2,2,29,,,1,,1
Holly Vincent,2025-26,Haverford,2,7,11,55,,,,3,
