Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Cate Lambert,2022-23,Haverford,1,14:00,,,0,,,,,,,,,
Cate Lambert,2023-24,Haverford,2,34:36,,,0,,,,,,,,,
Cate Lambert,2025-26,Haverford,1,,,,0,,,,,,,,,
