Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Abigale Baker,2022-23,Haverford,14,731:44,,,0,5,2,3,,,,,,
Abigale Baker,2023-24,Haverford,17,1362:59,,3,3,11,3,2,,1,,,,
Abigale Baker,2024-25,Haverford,19,1538:49,1,,2,8,2,3,,2,,,,
Abigale Baker,2025-26,Haverford,18,1589:33,3,,6,23,13,12,,,,,,1
