Player Name,Year,Team,G,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,RBI2out
Drew Doyle,2022-23,Haverford,9,,,,,,,,,0,,,,,,,,,,,,,,
Drew Doyle,2023-24,Haverford,15,,,,,,,,,0,,,,,,,,,,,,,,
Drew Doyle,2024-25,Haverford,14,,,,,,,,,0,,,,,,,,,,,,,,
