Player Name,Year,Team,MP,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
Gia Frank,2023-24,Haverford,17,55,88,31,248,0.230,1,,,22,2,,1,34,2,106.0,,
Gia Frank,2024-25,Haverford,26,97,266,66,661,0.303,2,1,1,47,2,,3,56,2,298.0,,
Gia Frank,2025-26,Haverford,16,53,107,35,267,0.270,1,,,22,2,1,5,29,,126.5,,
