Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Jacob Anderson,2023-24,Haverford,3,,1,,1,2,2,5,2,,,0
Jacob Anderson,2024-25,Haverford,4,,,,0,1,1,1,,,,0
