Player Name,Year,Team,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,SBA,CS,Picked,GO,FO
Kaleigh Bodak,2023-24,Haverford,7,8,,,,,,0,,,0,,,,,,,,,,,,,,,,,,
Kaleigh Bodak,2024-25,Haverford,6,16,,,,,,0,,,0,,,,,,,,,,,,,,,,,,
