Player Name,Year,Team,MP,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
Olivia DeVille,2024-25,Haverford,11,22,4,4,15,0.000,1,2,7,17,60,7,,3,,7.5,,
Olivia DeVille,2025-26,Haverford,14,30,5,7,22,-0.091,2,7,11,24,33,7,,1,2,12.5,,
