Player Name,Year,Team,G,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,Avg,PTS,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls,Effective FG Pct.,Bench
Niko Rizos,2025-26,Haverford,13,197:28,25,59,42.37,2,12,16.67,13,24,54.17,5.62,65,23,50,73,5.62,14,15,7,10,25,1,,,,,0
Niko Rizos,Career,,13,197:28,25,59,42.37,2,12,16.67,13,24,54.17,5.62,65,23,50,73,5.62,14,15,7,10,25,1,,,,,0
