Player Name,Year,Team,G,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,Avg,PTS,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls,Effective FG Pct.,Bench
Christian Uremovich,2024-25,Haverford,21,397:30,73,141,51.77,4,5,80.00,24,34,70.59,3.00,174,25,38,63,3.00,15,24,8,8,35,,,,,0.500,0
Christian Uremovich,2025-26,Haverford,13,253:01,54,95,56.84,,,,16,20,80.00,3.62,124,16,31,47,3.62,19,9,8,4,10,,,,1,,0
Christian Uremovich,Career,,34,650:31,127,236,53.81,4,5,80.00,40,54,74.07,3.24,298,41,69,110,3.24,34,33,16,12,45,,,,1,,0
