Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Reid Tietjen,2022-23,Haverford,15,15,14,20,34,61,39,25,28,5,,0
Reid Tietjen,2023-24,Haverford,16,16,52,24,76,132,93,40,20,6,,0
Reid Tietjen,2024-25,Haverford,7,4,9,5,14,42,24,14,14,,,0
