Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Ronan West,2023-24,Haverford,16,15,3,2,5,10,7,53,12,33,8,32
Ronan West,2024-25,Haverford,16,16,7,8,15,20,12,69,5,23,7,21
