Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Katie Dowd,2024-25,Haverford,5,107:02,,,0,2,,2,,,,,,
Katie Dowd,2025-26,Haverford,8,357:47,1,,2,5,3,,,,,,,1
