Player Name,Year,Team,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,Avg,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,PF,G,DQ,Dbl Dbl,Tech Fouls,Bench Pts PG,Bench,Trpl Dbl
Caroline Orza,2024-25,Haverford,786:52,110,314,35.03,48,169,28.40,42,59,71.19,310,5.00,48,77,125,5.00,36,62,36,2,34,25,,1,,,,
Caroline Orza,2025-26,Haverford,496:27,93,191,48.69,34,85,40.00,51,68,75.00,271,7.43,36,68,104,7.43,14,33,26,3,37,14,1,5,1,,,
