Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Claire Parker,2024-25,Haverford,5,120:40,,,0,1,1,,,,,,,
Claire Parker,2025-26,Haverford,18,1291:01,,,0,4,1,7,,,,,,
