Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Saylen Cardoni,2024-25,Haverford,13,2,,4,3,,,,,,,
Saylen Cardoni,2025-26,Haverford,6,,,5,1,2,,1,,,,
Saylen Cardoni,Career,,19,2,,9,4,2,,1,,,,
