Player Name,Year,Team,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,SBA,CS,Picked,GO,FO
Anna Stowe,2022-23,Haverford,4,13,,,,,,0,,,0,,,,,,,,,,,,,,,,,,
Anna Stowe,2023-24,Haverford,,5,,,,,,0,,,0,,,,,,,,,,,,,,,,,,
Anna Stowe,2024-25,Haverford,,7,,,,,,0,,,0,,,,,,,,,,,,,,,,,,
