Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Ollie McNamara,2024-25,Haverford,1,,,,,,,,,,,
Ollie McNamara,2025-26,Haverford,1,,,,,,,,,,,
