Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Anna Keneally,2022-23,Haverford,,,0,,,,,,
Anna Keneally,2023-24,Haverford,,,0,,,,,,
Anna Keneally,2024-25,Haverford,,,0,,,,,,
Anna Keneally,2025-26,Haverford,,,0,,,,,,
Anna Keneally,Career,,,,0,,,,,,
