Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Hunter Rexford,2023-24,Haverford,9,,,,0,2,2,4,3,,1,5
Hunter Rexford,2024-25,Haverford,14,,,,0,,,7,5,3,,1
